company_id,company_kyc_status_name,company_kyb_status_name,company_type_group,company_phone_verified_flag,company_email_verified_flag,user_fraud_flag,testing_account_flag,blacklist_account_flag,package_active_name,company_registered_datetime
bbce610a3267808752a7ec263a7ecfbe76a4987d529bcb45ca1918f926d43726,AKUN_DIBEKUKAN,BELUM_VALIDASI,PERORANGAN,1.0,0.0,1.0,0.0,0.0,FREE,2023-02-01 17:18:59
09eb3b80abae1238ef39d50b66215e02e1ac9891ad6e8f1a2f6590fc889c1696,BELUM_VALIDASI,BELUM_VALIDASI,PERORANGAN,1.0,0.0,0.0,0.0,0.0,FREE,2023-06-08 12:53:10
25d0774533d69564d0deca724a55a76c693ed5f7ffa12a5e315be2ed3972511f,BELUM_VALIDASI,BELUM_VALIDASI,PERORANGAN,1.0,0.0,0.0,0.0,0.0,FREE,2023-03-03 00:46:29
5b846313375cb4f4d065e50a05833dc3ac20ba3f532bbe63acfe5fbe6f221917,BELUM_VALIDASI,BELUM_VALIDASI,PERORANGAN,1.0,0.0,0.0,0.0,0.0,FREE,2022-12-20 15:06:00
5c19a13a9b229340b584f621b648f4dec7491e123683925852f1682693d20825,VALIDASI_BERHASIL,BELUM_VALIDASI,PERORANGAN,1.0,1.0,0.0,0.0,0.0,PAPER+ THREE MONTHS,2021-12-07 22:39:58
e788560fa1c4b223d51c5e281ccbbbea6ce9aefbdb7dbd94b96788d01e4d36a3,VALIDASI_BERHASIL,BELUM_VALIDASI,PERORANGAN,1.0,1.0,0.0,0.0,0.0,FREE,2023-03-24 18:18:18
0bb440f2ae8461ca7b424f9b0efddbb2a1993e07a6d629a5b9f82f5818264d1b,VALIDASI_BERHASIL,BELUM_VALIDASI,PERORANGAN,1.0,1.0,0.0,0.0,0.0,PAPER+ MARKETING PROMO(1 MONTH),2022-04-13 05:30:45
b4c5286fbf6443dd4df37457f3ef23a2b71253b1c86452f824e8856befba3483,VALIDASI_BERHASIL,VALIDASI_BERHASIL,PT,1.0,1.0,0.0,1.0,0.0,PAPER+ ONE YEAR,2023-01-15 21:28:04
1df4d59374cb550c3293a508c43ac4b99015b4ff3309be2899dc7dbc33895b6b,VALIDASI_BERHASIL,BELUM_VALIDASI,PERORANGAN,1.0,1.0,0.0,0.0,0.0,PAPER+ ONE YEAR,2021-11-07 22:49:15
83ec08c89bb411b5b3ccd116fc8168a87dd235dda04fba1283034173bd512390,VALIDASI_BERHASIL,BELUM_VALIDASI,PERORANGAN,1.0,1.0,0.0,0.0,0.0,PAPER+ THREE MONTHS,2023-04-04 00:16:35
9aea2c435d5b0f3841a2aa6ab7485abbd8ce988749c441d8b6ded34c532aaa17,VALIDASI_BERHASIL,VALIDASI_BERHASIL,PT,1.0,1.0,0.0,0.0,0.0,PAPER+ ONE YEAR,2022-11-01 21:09:22
